,text,is_quote_status,view_count,has_card,urls,day,month,year,is_in_reply_to,is_view_count,1_day_after
25,"Google $GOOGL $GOOG is funding the construction of 7 small nuclear power reactors in the US to help with energy needed for AI, per WSJ  ",0,451298.0,0,0,14,10,2024,0,1,1
26,"All these stocks hit new 52 week highs today (you can generate these charts on Unusual Whales or using our discord bot):

$PLTR
$HOOD
$ORCL
$IBM
$TTD
$EBAY
$UAL
$PYPL

Did you own any of them? https://t.co/GdkkLHeyMI  ",0,83940.0,0,0,8,10,2024,0,1,1
27,"All these stocks hit new 52 week highs today (you can generate these charts on Unusual Whales or using our discord bot):

$PLTR
$HOOD
$ORCL
$IBM
$TTD
$EBAY
$UAL
$PYPL

Did you own any of them? https://t.co/GdkkLHeyMI  ",0,83940.0,0,0,8,10,2024,0,1,1
28,"Tesla, $TSLA first image of their supposed CyberCab https://t.co/lNa0TxmDZC  ",0,139128.0,0,0,11,10,2024,0,1,0
29,"Pichai also mentioned that Google is exploring additional clean energy investments, including solar power.

Link: https://t.co/jrvaIL7g5U Google $GOOGL $GOOG is funding the construction of 7 small nuclear power reactors in the US to help... ",0,73103.0,1,1,14,10,2024,1,1,1
30,"$NVDA $YINN $CRWD all leading net premiums on Unusual Whales market tide today right now.

Slight drop in options premiums across the board headed into close. https://t.co/yFJ5zLq04P  ",0,75106.0,0,0,10,10,2024,0,1,1
31,"$NVDA $YINN $CRWD all leading net premiums on Unusual Whales market tide today right now.

Slight drop in options premiums across the board headed into close. https://t.co/yFJ5zLq04P  ",0,75106.0,0,0,10,10,2024,0,1,1
32,"Since last week Tuesday...

S&amp;P 500 -3.2%
$GOOGL -18.75%
$AMZN - 25.7%  ",0,6255.0,0,0,3,11,2022,0,0,0
33,"Since last week Tuesday...

S&amp;P 500 -3.2%
$GOOGL -18.75%
$AMZN - 25.7%  ",0,6255.0,0,0,3,11,2022,0,0,1
34,@CapitalObserver On this front... how close do the ADP numbers typically match up with BLS's?  ,0,263.0,0,0,1,2,2023,1,1,1
35,Google Photos To Help Users Identify AI-Created Images https://t.co/cV93AoTuPF Google Photos To Help Users Identify AI-Created Images ,0,23061.0,1,1,11,10,2024,0,1,1
36,Google orders small modular nuclear reactors for its data centres https://t.co/c27d8UcRah Google orders small modular nuclear reactors for its data centres ,0,367421.0,1,1,14,10,2024,0,1,1
37,Former Pfizer executives pull out of activist investor Starboard’s campaign https://t.co/OL4yGcd0AR Former Pfizer executives pull out of activist investor Starboard’s campaign ,0,28408.0,1,1,10,10,2024,0,1,0
38,“OpenAI CFO Sarah Friar says the company will use the financing to acquire more computing power” $NVDA https://t.co/w7bdoUmciq  ,0,740.0,0,0,30,8,2024,0,1,0
39,“We update our outlook for commercial aircraft deliveries. We believe we are finally heading to the inflection point for global travel.” Bernstein $BA $SPR  ,0,6255.0,0,0,29,9,2021,0,0,0
40,"Nvidia:  Remember the old days when we repeatedly warned about a confirmed, undisclosed SEC investigation at $NVDA and no one cared? https://t.co/n97joGOESs  ",0,6255.0,0,0,25,5,2022,0,0,1
41,"@davidgura The SEC knows much more about Twitter's user data than he does. If he bothered to look, he'd know too.  We have the receipts.  $TWTR $TSLA  ",0,6255.0,0,0,4,6,2022,1,0,0
42,Trying again...larger 😀.  part 1/3 $TSLA #ElonMusk https://t.co/0O94BFJTlz  ElonMusk,0,6255.0,0,0,13,5,2020,0,0,0
43,"Trying again larger.  3/3 $TSLA #ElonMusk 

Nobody expresses it better than Joan McCullough https://t.co/CeTUdlCbYC  ElonMusk",0,6255.0,0,0,13,5,2020,0,0,0
44,Nobody expresses it better than Joan McCullough.  $TSLA @elonmusk https://t.co/cprfZCglTZ  ,0,6255.0,0,0,13,5,2020,0,0,0
45,Trying again larger 😀 Part 2/3 $TSLA #ElonMusk https://t.co/Y8eEkctCca  ElonMusk,0,6255.0,0,0,13,5,2020,0,0,0
46,"If @Tesla wants to save the human species, it should pay more attention to the
safety of its own customers. You shouldn’t have to be Walmart to have your
dangerous solar panels fixed. @Elonmusk  ",0,6255.0,0,0,23,8,2019,0,0,0
47,"Google said Monday that it will purchase power from small modular reactor developer Kairos Power, as tech companies increasingly turn to nuclear power as a way to fulfill the growing energy demands from data centers.

Read more about the deal: https://t.co/Z4FtYTQYv3 https://t.co/LrLFPldiBP  ",0,48399.0,0,1,14,10,2024,0,1,1
48,Google inks deal with nuclear company as data center power demand surges https://t.co/vcEXk3CZhV Google inks deal with nuclear company as data center power demand surges ,0,35218.0,1,1,14,10,2024,0,1,1
49,LISTEN NOW: The Justice Department may be looking to break up Google after the ruling on its monopoly. Listen and follow the @CNBCFastMoney podcast here: https://t.co/2KdGymyRed https://t.co/WKdWIzr6gW  ,0,19355.0,0,1,9,10,2024,0,1,0
50,Nvidia heads for record close as AI chipmaker's market cap tops $3.4 trillion https://t.co/0wKWv2Fs16 Nvidia heads for record close as AI chipmaker's market cap tops $3.4 trillion ,0,31126.0,1,1,14,10,2024,0,1,0
51,"The U.S. government is approaching year five of its sprawling investigation into the country's biggest tech companies.

Google is the first U.S. tech giant to land in federal court fighting antitrust concerns in decades.

Read more: https://t.co/VnuWGqnchC https://t.co/MVxvw3xNX0  ",0,17079.0,0,1,10,10,2024,0,1,1
52,LISTEN NOW: Scott Wapner and the Investment Committee debate the state of the tech trade as Nvidia crosses back into a $3 trillion market cap while other top tech names get downgrades. Listen and follow the @HalftimeReport podcast here: https://t.co/I1PNHn6kQl https://t.co/VfhQuoiH7E  ,0,16004.0,0,1,8,10,2024,0,1,1
53,"AMD CEO Lisa Su discusses the company launching a new AI chip on Thursday that is taking direct aim at Nvidia’s data center graphics processors, known as GPUs.

Read more: https://t.co/OEcdhWfDFD https://t.co/oYd44mlKlh  ",0,24727.0,0,1,10,10,2024,0,1,0
54,Nvidia closes at record as AI chipmaker's market cap tops $3.4 trillion https://t.co/281LNt013g Nvidia closes at record as AI chipmaker's market cap tops $3.4 trillion ,0,34093.0,1,1,14,10,2024,0,1,0
55,"LISTEN NOW: Concerns are growing over Big Tech firms and lofty expectations for earnings, and Apple and Amazon are bouncing back today after analyst downgrades yesterday. Listen and follow the @PowerLunch podcast here: https://t.co/WV081BM7DG https://t.co/Cj8DZxNLun  ",0,17850.0,0,1,8,10,2024,0,1,1
56,Four Taiwanese employees at Chinese facilities that make products for Apple have been detained by local authorities https://t.co/ujhEuBJ0EE https://t.co/ujhEuBJ0EE China Detains Employees at Apple iPhone Factory Run by Foxconn ,0,56477.0,1,1,10,10,2024,0,1,0
57,"WSJ's @JeffHorwitz and @KatherineBlunt won a Gerald Loeb Award for their reports into how Instagram and Facebook connected networks of pedophiles, and how Meta not only failed to stop this but added to the risks.

Read their investigation: https://t.co/EcAK310Vsr The Dark Side of Meta’s Algorithms ",0,45313.0,1,1,11,10,2024,0,1,1
58,Google plans to buy power generated by seven small nuclear reactors to be built by startup Kairos Power https://t.co/YgEmmpcOEa Google Backs New Nuclear Plants to Power AI ,0,53223.0,1,1,14,10,2024,0,1,1
59,6. Financial modeling on a Mac in Google Sheets https://t.co/86GlDHvoUx  ,0,3113.0,0,0,6,10,2024,0,1,0
60,"@jack__smitham But those FCF decisions should be done in google sheets , right?  ",0,100.0,0,0,1,10,2024,1,1,0
61,Nvidia says Blackwell is sold out for 12 months https://t.co/qD3WJBpcEx  ,0,61372.0,0,0,10,10,2024,0,1,1
62,"Both Intel and AMD now view Nvidia GB200 NVL72 as their main competition, with its Grace ARM CPU, Blackwell GPU, and NVLink. The GB200 NVL72 is poised to capture ENORMOUS share in the data center market from Intel and AMD next year. https://t.co/mt7pWgS2lo  ",0,6438.0,0,0,15,10,2024,0,1,0
63,"Both Intel and AMD now view Nvidia GB200 NVL72 as their main competition, with its Grace ARM CPU, Blackwell GPU, and NVLink. The GB200 NVL72 is poised to capture ENORMOUS share in the data center market from Intel and AMD next year. https://t.co/mt7pWgS2lo  ",0,6438.0,0,0,15,10,2024,0,1,0
64,"If AMD CEO is correct about her long term market size prediction for AI GPUs, it would nearly double Street consensus for Nvidia if share stays the same https://t.co/4HFNkywTuf  ",0,37428.0,0,0,10,10,2024,0,1,1
65,"If AMD CEO is correct about her long term market size prediction for AI GPUs, it would nearly double Street consensus for Nvidia if share stays the same https://t.co/4HFNkywTuf  ",0,37428.0,0,0,10,10,2024,0,1,0
66,"Hon Hai on Nvidia GPU demand: “demand for the next-generation Blackwell chips was “crazy”

“There was a lot of talk that the need for compute may be saturated pretty soon. But it looks like the demand is still growing. So that’s beyond our expectations,” Liu said.” https://t.co/qH5itrqkPi  ",0,5251.0,0,0,8,10,2024,0,1,1
67,@Devon_Eriksen_ A LOT of similar themes in my book on Nvidia  ,1,250.0,0,0,14,10,2024,1,1,0
68,"It's super exciting to see three scientists win Nobel Prizes and receive recognition for their work in AI and digital biology.

I made digital biology THE key focus in my book on Nvidia as the most promising area for AI to benefit humanity in the future.  ",1,4068.0,0,0,9,10,2024,0,1,1
69,@BenBajarin @nvidia FWIW he’s said that for many years  ,0,308.0,0,0,14,10,2024,1,1,0
70,Goldman out with a note confirming Nvidia says Blackwell order lead times are 12 months (what Morgan Stanley said yesterday)  ,0,2456.0,0,0,11,10,2024,1,1,1
71,"When Lisa Su took over, AMD was nearly bankrupt. The chipmaker is now worth $280 billion - an incredible run and one of the all-time great business turnaround stories.  ",1,37273.0,0,0,8,10,2024,0,1,0
72,"In the past 24 hours, three current or former Google employees - Demis Hassabis, John Jumper, and Geoffrey Hinton - have won Nobel Prizes for advancing science and pushing humanity forward.

DOJ: Break it up.  ",0,80017.0,0,0,9,10,2024,0,1,0
73,Another major Nvidia Blackwell GPU customer reference today  ,1,3708.0,0,0,8,10,2024,0,1,1
74,"I interviewed dozens of executives for my Nvidia book. To my knowledge, not one had a McKinsey + MBA background. There’s something to that.  ",1,32437.0,0,0,11,10,2024,0,1,1
75,"Nvidia nearly went bankrupt four times, so Jensen is a turnaround champion too  ",0,2240.0,0,0,8,10,2024,0,1,1
76,AlphaFold2 was trained on 128 Google TPUs. Inference for the model is done on Nvidia GPUs  ,1,3968.0,0,0,10,10,2024,0,1,1
77,AlphaFold2 was trained on 128 Google TPUs. Inference for the model is done on Nvidia GPUs  ,1,3968.0,0,0,10,10,2024,0,1,1
78,"The definitive history of the GeForce 256 and how the term GPU was coined can be found in my book, ""THE NVIDIA WAY,"" releasing on December 10th.  ",1,4260.0,0,0,11,10,2024,0,1,1
79,"Just a reminder with all of these earnings coming out: many (not all) companies are burying all kinds of crap in their forward-looking statements. Just today: $BAC was over 1,000 words!  $UNH and $GS were each over 400 words.  ",0,1763.0,0,0,15,10,2024,0,1,1
80,Tax free selling of $TSLA stock !  ,1,2568.0,0,0,5,9,2024,0,1,0
81,anyone at JPM next year?  ,0,6255.0,0,0,17,12,2021,0,0,0
82,Not getting the focus of $INTC or #Sahm but infrastructure construction darling $TPC getting demolished today.  Lots of time on the call spent explaining the reasons for higher stock comp which is quaint. Backlog growth was underwhelming and the stock now finds itself back to the  Sahm,0,2080.0,0,0,2,8,2024,0,1,0
83,"@PrairieFlood Fair point, I was thinking in the context of companies that were public 10-years ago or longer.  $CMG fits that category for certain. $CAVA and $WING have been monsters, even $KRUS, but it's been a rough road from a stock perspective for the older generation. Full disclosure I  ",0,404.0,0,0,17,7,2024,1,1,0
84,"Apple UPS tracking info name is ""AI"" we are so early✨ https://t.co/WM0NoALObq  ",0,1526.0,0,0,20,9,2024,0,1,0
85,"$MSFT 8-K changing disclosures/re-segmenting, the biggest change is moving EMS out of Azure and other into Office365, which raises the growth rates of BOTH Azure to 35% from 30% AND O365 to 16% from 14% (renamed Microsoft365). https://t.co/gWPvqIa0h8  ",0,26981.0,0,0,21,8,2024,0,1,0
86,$PANW mgmt moving the goalposts again @nikesharora https://t.co/msqY7ScISL  ,0,2878.0,0,0,19,8,2024,0,1,1
87,Revenue for TSMC and Nvidia since 2014: $NVDA $TSM https://t.co/OH6VbSW7vy  ,0,1302.0,0,0,16,10,2024,0,1,1
88,Revenue for TSMC and Nvidia since 2014: $NVDA $TSM https://t.co/OH6VbSW7vy  ,0,1302.0,0,0,16,10,2024,0,1,1
89,"Today's FREE Edition is out, full of goodies for you:

529: Anthropic CEO on AI Future, SpaceX Chopsticks, Tesla's Robotaxis &amp; Optimus, Satya Nadella's Secret, Google Goes Nuclear, and Victorian VR

https://t.co/aKv5Auc3Pr 529: Anthropic CEO on AI Future, SpaceX Chopsticks, Tesla's Robotaxis & Optimus, Satya Nadella's... ",0,1101.0,1,1,16,10,2024,0,1,0
90,"I'm back! Today's FREE edition covers a lot:

527: Zuck Trying to Osborne Apple, Orion AR, Should Nvidia Buy Perplexity?, Trader Turns $88k Into $415m and Loses It All, Curing Diabetes, Microsoft, Samsung, Semiconductors, and Leonard Cohen $META $NVDA

https://t.co/BUMbInbuJR 527: Zuck Trying to Osborne Apple, Orion AR, Should Nvidia Buy Perplexity?, Trader Turns $88k Into... ",0,11472.0,1,1,9,10,2024,0,1,0
91,"I'm back! Today's FREE edition covers a lot:

527: Zuck Trying to Osborne Apple, Orion AR, Should Nvidia Buy Perplexity?, Trader Turns $88k Into $415m and Loses It All, Curing Diabetes, Microsoft, Samsung, Semiconductors, and Leonard Cohen $META $NVDA

https://t.co/BUMbInbuJR 527: Zuck Trying to Osborne Apple, Orion AR, Should Nvidia Buy Perplexity?, Trader Turns $88k Into... ",0,11472.0,1,1,9,10,2024,0,1,1
92,"I'm back! Today's FREE edition covers a lot:

527: Zuck Trying to Osborne Apple, Orion AR, Should Nvidia Buy Perplexity?, Trader Turns $88k Into $415m and Loses It All, Curing Diabetes, Microsoft, Samsung, Semiconductors, and Leonard Cohen $META $NVDA

https://t.co/BUMbInbuJR 527: Zuck Trying to Osborne Apple, Orion AR, Should Nvidia Buy Perplexity?, Trader Turns $88k Into... ",0,11472.0,1,1,9,10,2024,0,1,1
93,UnitedHealth Shares Dive After Health Giant Says 2025 Results Likely to Fall Short $UNH https://t.co/FIb7eDzJHF UnitedHealth Shares Dive After Health Giant Says 2025 Results Likely to Fall Short ,0,1362.0,1,1,16,10,2024,0,1,1
94,New 52-week low for Boeing $BA https://t.co/AQVbC1q9V5  ,0,20753.0,0,0,14,10,2024,0,1,1
95,"Crickets from the 24+ analysts covering $FND. Homebuilder $LEN #Lennar d/g over at Citi/RayJay on housing concerns. RayJay specifically calling out ""outsized exposure"" to #Florida. Probably nothing that $FND also has material Florida exposure, ~14% of the store base. https://t.co/uguG4brY48  Lennar Florida",0,2854.0,0,0,2,7,2024,0,1,1
96,True confession: The script was written not by me but by Google Gemini. 😆 https://t.co/Z8LW5UIBAX  ,1,108836.0,0,0,11,10,2024,0,1,1
97,Meta must face a lawsuit by dozens of state attorneys general alleging it knowingly contributed to a youth mental health crisis by getting kids hooked on social media. https://t.co/tzzvQIj1fw Meta Must Face Some Claims by State AGs in Addiction Lawsuit ,0,21475.0,1,1,15,10,2024,0,1,0
98,"Apple worked with Chinese automaker BYD for years as part of its now-canceled car project, developing long-range batteries that helped lay the groundwork for technology used today, according to people familiar with the situation. https://t.co/pmh8fgQ1Fw Apple Secretly Worked With China’s BYD on Long-Range EV Battery ",0,23866.0,1,1,16,10,2024,0,1,1
99,Google Says Nuclear Is Key to Around-the-Clock Clean Power https://t.co/lNQYYhXHR5 Google Says Nuclear Is Key to Around-the-Clock Clean Power ,0,23447.0,1,1,16,10,2024,0,1,0
100,Google is endorsing a bill that would require people filing lawsuits to disclose who will be paying for – and profiting from – the litigation. https://t.co/BWvAwISNn5 Google Endorses Bill to Reveal Funders Backing Lawsuits ,0,19633.0,1,1,15,10,2024,0,1,0
101,"If you think there are too many podcasters out there, Google may have the solution, writes @parmy https://t.co/Z48nOkdnTb via @opinion Google’s AI Podcast Tool Is Dazzling. But Is It Useful? ",0,13220.0,1,1,17,10,2024,0,1,0
102,"Thinking aloud about Google remedies - 

$GOOG, $GOOGL

https://t.co/z0TxIvERPi  ",0,10002.0,0,1,10,10,2024,0,1,1
103,"Thinking aloud about Google remedies - 

$GOOG, $GOOGL

https://t.co/z0TxIvERPi  ",0,10002.0,0,1,10,10,2024,0,1,1
104,"""Superhuman"": Nvidia CEO Blown Away After Musk Sets Up 100,000 GPUs In 19 Days https://t.co/CgY93ceElz ""Superhuman"": Nvidia CEO Blown Away After Musk Sets Up 100,000 GPUs In 19 Days ",0,70828.0,1,1,16,10,2024,0,1,1
105,"If CarCo is some day serious about a network of cars for ride service, wouldn’t it be wise to buy the second biggest ride share network to have immediate demand-side liquidity?

It’s a drop in the bucket for them.

Now I know autonomy is all pretend TSLA stock pumping, but…  ",0,969.0,0,0,11,10,2024,0,1,0
106,"The geopolitics of open source AI, the rise of small models, why NLP is boring and trashing the lean startup handbook

New pod @ClementDelangue, CEO @huggingface 🎙️🤗

* YouTube: https://t.co/lqyMqUB6bL
* Spotify: https://t.co/ireJSS6WoJ
* Apple Podcasts: https://t.co/j8iJ9z7ObL https://t.co/MENckdHCLm  ",0,767.0,0,1,17,10,2024,0,1,1
107,"Cool for NYC AI  - new big OpenAI office 

Cohere opened one recently 

In addition to many other existing AI co offices Meta FAIR, DeepMind, Palantir, HuggingFace, Dataiku, etc 

(and yes, Kushner/Thrive building) https://t.co/bjlTRWkomb  ",0,180619.0,0,0,5,10,2024,0,1,1
108,"AGI, the future of AI agents and the next wave of opportunities in AI 

Deep conversation with @RichardSocher, CEO of @youdotcom, investor, NLP researcher 

* YouTube: https://t.co/ygPwjWMpn3
* Spotify: https://t.co/FnJaXJPQeP
* Apple Podcasts: https://t.co/c7GEpPEGT9 https://t.co/OlCyMd17pz  ",0,4770.0,0,1,10,10,2024,0,1,0
109,"There's a million specialized databases on the market, for specialized tasks

Can one database do it all?

Here's my conversation with @tobiemh, CEO of @SurrealDB 

* YouTube: https://t.co/V01WyFfWBQ
* Spotify: https://t.co/TVdCDob268
* Apple Podcasts: https://t.co/m9TQR4WY2G https://t.co/TyqgoWXezU  ",0,4737.0,0,1,3,10,2024,0,1,1
110,@asharoraa meta dinner!  ,0,189.0,0,0,16,10,2024,1,1,0
111,"@dollarsanddata ""So, out of the 15,287,521,000 AAPL shares outstanding, this means that you would own approximately 0.0000002% of them.""

Your post is good, Nick. I bet you convinced at least 0.0000002% of the people who believe in this ""conspiracy.""

Seriously. That would be a major  ",0,1618.0,0,0,8,10,2024,1,1,1
112,The six major US banks and brokers are up an average of 6.7% since last Thursday's close when earnings season began.  $JPM $WFC $BAC $C $GS $MS https://t.co/Su6xSoDPLY  ,0,7067.0,0,0,15,10,2024,0,1,0
113,"Key Earnings Reports After the Close Tomorrow

Alcoa $AA
Crown Castle $CCI
CSX $CSX
Discover Financial $DFS
Equifax $EFX
PPG Industries $PPG
Steel Dynamics $STLD

For more details, start a trial at https://t.co/H4p1RcpfIn.  ",0,6463.0,0,1,15,10,2024,0,1,1
114,"Key Earnings Reports After the Close Tomorrow

Crown $CCK
Intuitive Surgical $ISRG
Netflix $NFLX

For more details, start a trial at https://t.co/H4p1RcpNxV.  ",0,5577.0,0,1,16,10,2024,0,1,0
115,Shares of Nvidia made their first higher high since June. $NVDA https://t.co/u6f5BPeMxf  ,0,38310.0,0,0,9,10,2024,0,1,1
116,Shares of Nvidia made their first higher high since June. $NVDA https://t.co/u6f5BPeMxf  ,0,38310.0,0,0,9,10,2024,0,1,1
117,"Four of 13 companies reporting earnings after the close lowered guidance:

Equifax $EFX
Kinder Morgan $KMI
PPG Industries $PPG
Rexford Industrial Realty $REXR  ",0,6504.0,0,0,16,10,2024,0,1,0
118,"Key Earnings Reports Before the Open Monday

Albertsons $ACI
Bank of America $BAC
Charles Schwab $SCHW
Citigroup $C
Goldman Sachs $GS
Johnson &amp; Johnson $JNJ
PNC $PNC
Progressive $PGR
State Street $STT
UnitedHealth $UNH
Walgreens Boots Alliance $WBA

For more details, start a  ",0,7183.0,0,1,11,10,2024,0,1,0
119,"Key Earnings Reports Before the Open Monday

Albertsons $ACI
Bank of America $BAC
Charles Schwab $SCHW
Citigroup $C
Goldman Sachs $GS
Johnson &amp; Johnson $JNJ
PNC $PNC
Progressive $PGR
State Street $STT
UnitedHealth $UNH
Walgreens Boots Alliance $WBA

For more details, start a  ",0,7183.0,0,1,11,10,2024,0,1,1
120,"Goldman Sachs $GS and Morgan Stanley $MS made new all-time highs last Friday.  JP Morgan $JPM didn't quite get there.  Bank of America $BAC, Citi $C and Wells Fargo $WFC still slightly below 52-week highs.

$BAC, $C, $GS report earnings tomorrow before the open. https://t.co/f0NVptBjB4  ",0,22093.0,0,0,14,10,2024,0,1,0
121,"NVIDIA is closing the gap on Apple. Whereas NVDA started the year with a market cap 40% of that of Apple, currently the difference is only $108 billion. $NVDA $AAPL

Read more in tonight's Closer: https://t.co/1xd0fqDooz https://t.co/OzqPqQPKqQ  ",0,8626.0,0,1,14,10,2024,0,1,1
122,"NVIDIA is closing the gap on Apple. Whereas NVDA started the year with a market cap 40% of that of Apple, currently the difference is only $108 billion. $NVDA $AAPL

Read more in tonight's Closer: https://t.co/1xd0fqDooz https://t.co/OzqPqQPKqQ  ",0,8626.0,0,1,14,10,2024,0,1,0
123,"NVIDIA is closing the gap on Apple. Whereas NVDA started the year with a market cap 40% of that of Apple, currently the difference is only $108 billion. $NVDA $AAPL

Read more in tonight's Closer: https://t.co/1xd0fqDooz https://t.co/OzqPqQPKqQ  ",0,8626.0,0,1,14,10,2024,0,1,0
124,"""At the end of 1974, during the tough 1973-1974 bear market, the entire index was valued at around $500 billion."" @barronsonline 

Apple is worth 7 times more than the entire value of the US stock market from 50 years ago. $AAPL  ",0,5674.0,0,0,11,10,2024,0,1,1
125,"""At the end of 1974, during the tough 1973-1974 bear market, the entire index was valued at around $500 billion."" @barronsonline 

Apple is worth 7 times more than the entire value of the US stock market from 50 years ago. $AAPL  ",0,5674.0,0,0,11,10,2024,0,1,1
126,"Key Earnings Reports Tomorrow

Before the Open:
BlackRock $BLK
BNY Mellon $BK
Fastenal $FAST
JPMorgan Chase $JPM
Wells Fargo $WFC

After the Close:
None

For more details, start a trial at https://t.co/H4p1RcpNxV.  ",0,6511.0,0,1,10,10,2024,0,1,1
